date,ndvi
2022-01-27,0.28974535443909155
2022-01-29,0.1393728222996516
2022-02-01,0.13671274961597543
2022-02-08,0.1940772078265468
2022-02-11,0.159528243327126
2022-02-13,0.18096357226792012
2022-02-18,0.05764411027568921
2022-02-23,0.18258212375859434
2022-02-28,0.33711449840482094
2022-03-05,0.4164742109314857
2022-03-10,0.5914958238420652
2022-03-15,0.7714285714285716
2022-03-20,0.8151260504201682
2022-03-25,0.7931966659157468
2022-04-04,0.8385428378682258
2022-04-24,0.75549188156638
2022-05-09,0.48873962860529446
2022-10-01,0.053304904051172684
2022-10-11,0.3285457809694793
2022-10-16,0.32258064516129037
2022-10-19,0.06352683461117195
2022-10-21,0.18413597733711046
2022-10-26,0.3948717948717949
2022-10-31,0.5055350553505534
2022-11-03,0.3279515640766902
2022-11-05,0.6669090909090909
2022-11-10,0.41028858218318703
2022-11-15,0.4716679968076617
2022-11-20,0.41759999999999997
2022-11-25,0.32181069958847736
2022-11-30,0.286634460547504
2022-12-05,0.2522968197879858
2022-12-15,0.33766233766233766
2022-12-18,0.33642691415313225
2022-12-20,0.3849607182940516
2022-12-30,0.31975199291408324
