date,NDVI
2021-01-02,0.5198044009779951
2021-01-04,0.6467876692595793
2021-01-09,0.5016770483948252
2021-02-03,0.5480161012075906
2021-02-08,0.7105575326215895
2021-02-13,0.3861810391001607
2021-02-18,0.38758782201405145
2021-02-23,0.5128805620608899
2021-02-28,0.6049022468631458
2021-03-05,0.5429420505200594
2021-03-15,0.22397003745318347
2021-03-25,0.3743190661478599
2021-03-28,0.43349897690733696
2021-03-30,0.34870641169853767
2021-04-02,0.7000955109837631
2021-04-04,0.6410583359897991
2021-04-12,0.7579617834394904
2021-04-14,0.5453608247422681
2021-04-17,0.7283236994219654
2021-04-19,0.7477911646586344
2021-04-24,0.6949928469241774
2021-04-27,0.7763659466327827
2021-04-29,0.5042547351084272
2021-05-02,0.47611710323574735
2021-05-07,0.8228482003129891
2021-05-19,0.5839074125103334
2021-06-03,0.2214891611687087
2021-06-06,0.18622174381054898
2021-10-11,0.23156981786643538
2021-10-21,0.13936927772126148
2021-10-26,0.2085864722559741
2021-10-31,0.21996615905245342
2021-11-05,0.5649122807017544
2021-11-10,0.760420578295156
2021-11-28,0.5
2021-11-30,0.48814290113951353
2021-12-03,0.5771284951303801
2021-12-05,0.634383279364145
2021-12-10,0.4364994663820704
2021-12-13,0.4837587006960558
2021-12-15,0.3998832457676591
2021-12-18,0.46350364963503654
2021-12-20,0.3910256410256411
